component,context,strata_spec,threshold,pair,pair_family,grids,O,E,Delta,rho,z_approx,q2.5,q50,q97.5,M,p_upper,R,seed,usable_grids,strata_used
base_ccem,all_observed,base_context_q4,0.7,pet_retail__pet_medical,companion_animal_pair,10144,996,884.1130144682652,111.88698553173481,1.1265528090874528,5.702630216534738,866.0,884.0,902.0,94.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.7,pet_retail__elder_care,pet_formal_care_contrast,10144,1322,1241.1393548338417,80.86064516615829,1.0651503353360217,3.504247851545506,1216.0,1241.0,1267.0,55.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.7,pet_medical__elder_care,pet_formal_care_contrast,10144,907,837.2650712367782,69.73492876322177,1.0832889501292724,3.5256416455859774,818.0,837.0,857.0,50.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.7,elder_care__health_care,formal_care_pair,10144,1738,1651.0367724507264,86.9632275492736,1.052671890172494,3.489099381912058,1629.0,1651.0,1673.0,65.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.7,health_care__transit,urban_service_pair,10144,2100,2029.798725475628,70.20127452437191,1.0345853377693506,3.004819972628971,2008.0,2030.0,2052.0,48.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.7,daily_life__health_care,urban_service_pair,10144,2778,2609.865570803678,168.1344291963219,1.0644226396475076,8.78414180663437,2590.0,2610.0,2629.0,149.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.7,education_child__recreation,age_related_public_life_pair,10144,1910,1848.4407662831704,61.55923371682957,1.0333033304824868,2.608538934165152,1823.0,1848.0,1873.0,37.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.7,daily_life__transit,urban_service_pair,10144,2176,2150.880101828777,25.119898171223213,1.0116788928168823,1.069567587514075,2132.0,2151.0,2169.0,7.0,0.004399120175964807,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.8,pet_retail__pet_medical,companion_animal_pair,10144,823,674.3310378712238,148.66896212877623,1.2204688109835564,7.923296834465214,657.0,674.0,693.0,130.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.8,pet_retail__elder_care,pet_formal_care_contrast,10144,705,629.4452057681887,75.55479423181134,1.1200339498012422,3.9927373334826557,610.0,630.0,649.0,56.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.8,pet_medical__elder_care,pet_formal_care_contrast,10144,691,620.7988894683392,70.20111053166079,1.1130818880681022,3.7986401185511984,602.0,621.0,640.0,51.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.8,elder_care__health_care,formal_care_pair,10144,1026,969.4744514284223,56.5255485715777,1.0583053514079643,2.7048889144980315,955.0,969.0,985.0,41.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.8,health_care__transit,urban_service_pair,10144,1532,1463.4317015410938,68.56829845890616,1.0468544574965124,3.4214952358167423,1445.0,1463.0,1483.0,49.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.8,daily_life__health_care,urban_service_pair,10144,1960,1905.6532669008395,54.346733099160474,1.0285186891251967,3.0395664986368125,1894.0,1906.0,1917.0,43.0,0.0001999600079984003,5000,20260609,10043,167
base_ccem,all_observed,base_context_q4,0.8,education_child__recreation,age_related_public_life_pair,10144,1432,1363.1533346813092,68.84666531869084,1.0505054446679591,3.392345487018459,1343.0,1363.0,1383.0,49.0,0.0001999600079984003,5000,20260609,10043,167
