component,context,strata_spec,threshold,pair,pair_family,grids,O,E,Delta,rho,z_approx,q2.5,q50,q97.5,M,p_upper,R,seed,usable_grids,strata_used
spatial_ccem,all_observed,base_context_q4,0.8,pet_retail__pet_medical,companion_animal_pair,10144,823,674.3310378712238,148.66896212877623,1.2204688109835564,7.923296834465214,656.0,675.0,693.0249999999999,129.97500000000014,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,base_context_q4,0.8,pet_retail__elder_care,pet_formal_care_contrast,10144,705,629.4452057681887,75.55479423181134,1.1200339498012422,3.9927373334826557,611.0,630.0,649.0,56.0,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,base_context_q4,0.8,pet_medical__elder_care,pet_formal_care_contrast,10144,691,620.7988894683392,70.20111053166079,1.1130818880681022,3.7986401185511984,603.0,621.0,640.0,51.0,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,base_context_q4,0.8,elder_care__health_care,formal_care_pair,10144,1026,969.4744514284223,56.5255485715777,1.0583053514079643,2.7048889144980315,955.0,969.0,984.0,42.0,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,base_context_q4,0.8,health_care__transit,urban_service_pair,10144,1532,1463.4317015410938,68.56829845890616,1.0468544574965124,3.4214952358167423,1445.0,1463.0,1482.0,50.0,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,base_context_q4,0.8,daily_life__health_care,urban_service_pair,10144,1960,1905.6532669008395,54.346733099160474,1.0285186891251967,3.0395664986368125,1894.0,1906.0,1917.0,43.0,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,base_context_q4,0.9,pet_retail__pet_medical,companion_animal_pair,10144,527,383.22383475093847,143.77616524906153,1.3751754254599098,8.888171271788806,367.0,383.0,402.0,125.0,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,base_context_q4,0.9,pet_retail__elder_care,pet_formal_care_contrast,10144,434,370.62506484321284,63.37493515678716,1.1709947361050632,3.95078740326018,353.0,371.0,389.0,45.0,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,base_context_q4,0.9,pet_medical__elder_care,pet_formal_care_contrast,10144,401,331.2536067658669,69.74639323413311,1.2105528568129087,4.52687026339208,315.0,331.0,349.0,52.0,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,base_context_q4,0.9,elder_care__health_care,formal_care_pair,10144,595,502.23817806515535,92.76182193484465,1.184696874881564,5.4016803092876104,487.0,503.0,518.0,77.0,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,base_context_q4,0.9,health_care__transit,urban_service_pair,10144,847,744.0804940076272,102.91950599237282,1.138317704631722,5.872153667914166,730.0,744.0,760.0,87.0,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,base_context_q4,0.9,daily_life__health_care,urban_service_pair,10144,986,783.6804310338397,202.31956896616032,1.2581659066046325,11.20386699315469,768.0,784.0,800.0,186.0,0.0004997501249375312,2000,20260609,10043,167
spatial_ccem,all_observed,no_service_density_q4,0.8,pet_retail__pet_medical,companion_animal_pair,10144,823,664.9503287211598,158.04967127884015,1.2376864322825483,8.386610889127082,647.975,665.0,684.0,139.0,0.0004997501249375312,2000,20260609,10135,60
spatial_ccem,all_observed,no_service_density_q4,0.8,pet_retail__elder_care,pet_formal_care_contrast,10144,705,618.0211109759335,86.97888902406646,1.1407377312511473,4.593771641020448,598.0,619.0,638.0,67.0,0.0004997501249375312,2000,20260609,10135,60
spatial_ccem,all_observed,no_service_density_q4,0.8,pet_medical__elder_care,pet_formal_care_contrast,10144,691,609.874991122409,81.12500887759097,1.1330190777757407,4.384819338790159,591.0,610.0,629.0,62.0,0.0004997501249375312,2000,20260609,10135,60
spatial_ccem,all_observed,no_service_density_q4,0.8,elder_care__health_care,formal_care_pair,10144,1026,953.9729378174738,72.02706218252615,1.0755022069570566,3.4082880442477825,938.0,954.0,972.0,54.0,0.0004997501249375312,2000,20260609,10135,60
