feature,rf_gini_importance,permutation_importance_mean,permutation_importance_std
daily_life_buffer_1p0km_pct,0.20193822121329447,0.14727019564260616,0.004601204469556482
lat_center,0.08015316138073668,0.08969088198931884,0.004983213963171494
health_care_buffer_1p0km_pct,0.1774633017639264,0.08681857288706563,0.004411121144293251
lon_center,0.06352996638284385,0.07272785031606728,0.005266968421755554
service_density_pct,0.11870156458596086,0.05459646514327459,0.004480727051082818
transit_buffer_1p0km_pct,0.0550844172104601,0.048826907042176466,0.003578420406416623
population_pct,0.07488791167767554,0.044677391696682556,0.003822418098856852
recreation_park_sport_buffer_1p0km_pct,0.10868175164165857,0.043496612856881285,0.0032430164330593367
education_child_buffer_1p0km_pct,0.060074407089676346,0.04204725214664828,0.004100627584927936
housing_price_pct,0.04897141520523244,0.016054392086086583,0.002012943922434428
elder_care_buffer_1p0km_pct,0.010513881848534681,0.008533237821711994,0.0014049614174925925
