feature,feature_label,feature_group,target_class,sample_n,mean_abs_shap,mean_shap,q05_shap,q50_shap,q95_shap
daily_life_buffer_1p0km_pct,Daily life,Daily-life care,bundled_pet_service_maturity,3000,0.05648129417261023,-0.04088617765839689,-0.09549686508456462,-0.06311966236599917,0.05958568824470517
health_care_buffer_1p0km_pct,Health care,All-age care,bundled_pet_service_maturity,3000,0.03483191253154947,-0.019266388553549774,-0.04583946388811235,-0.036494475401317616,0.04568414257651168
service_density_pct,Service density,Urban intensity,bundled_pet_service_maturity,3000,0.02226768612856628,-0.01783381732151065,-0.037878635092408595,-0.022787141037032735,0.01883583458973743
lat_center,Latitude,Spatial position,bundled_pet_service_maturity,3000,0.019474262486296173,-0.008112988539810462,-0.05425123406142276,0.002209553754994628,0.022032657089013447
recreation_park_sport_buffer_1p0km_pct,Recreation,All-age care,bundled_pet_service_maturity,3000,0.013502052769829718,-0.004349211080731321,-0.023726947589530898,-0.009506725010220549,0.021623362626605237
lon_center,Longitude,Spatial position,bundled_pet_service_maturity,3000,0.01301440951838056,-0.0020688992288570678,-0.027440092329582687,-0.0015718218414267715,0.023112721593786283
population_pct,Population,Urban intensity,bundled_pet_service_maturity,3000,0.010541131063339551,-0.003945396738329754,-0.019564746429657404,-0.004595330371093222,0.016511796705184774
transit_buffer_1p0km_pct,Transit,Urban intensity,bundled_pet_service_maturity,3000,0.009626802248310518,0.005017724752843246,-0.019015878665006865,0.006500253025884282,0.02057508057229958
housing_price_pct,Housing price,Urban intensity,bundled_pet_service_maturity,3000,0.008026828434761846,0.002057065628158938,-0.03491332901361026,0.0035530912065757643,0.01350514707479088
education_child_buffer_1p0km_pct,Education,All-age care,bundled_pet_service_maturity,3000,0.006733618247801606,-0.0017195400815463475,-0.012955855049627993,-0.004044759129699326,0.013568958917640551
elder_care_buffer_1p0km_pct,Elder care,All-age care,bundled_pet_service_maturity,3000,0.0012571072493367979,0.0003154404632366975,-0.002676123544682514,0.00012075208665169027,0.004518147835759634
