context,threshold,pet_excess,pet_excess_ratio,pet_z_approx,pet_perm_excess_over_q975,benchmark_mean_excess_ratio,benchmark_max_excess_ratio,pet_rank_by_excess_ratio,pairs_tested
all_observed,0.7,111.88698553173504,1.1265528090874533,5.702630216534748,88.0,1.0493001966220021,1.0832889501292722,1,8
all_observed,0.8,148.66896212877612,1.2204688109835562,7.923296834465208,129.47500000000002,1.0614431365453494,1.1200339498012426,1,8
all_observed,0.9,143.77616524906142,1.3751754254599096,8.888171271788798,125.47500000000002,1.1850723219808046,1.2581659066046327,1,8
daily_life_top_non_elite,0.7,85.20284813603666,1.1185353168346468,4.9023486872009805,67.0,1.034784029668701,1.102129675006459,1,8
daily_life_top_non_elite,0.8,124.84479556051713,1.224882689673364,7.403331408624351,103.0,1.0589944777307256,1.1347871562973892,1,8
daily_life_top_non_elite,0.9,118.18238056997336,1.3649658742411677,8.072313377175506,99.47500000000002,1.216331379597683,1.2939617897782074,1,8
non_elite,0.7,103.37864997771032,1.1392077536884813,5.694173709457291,81.47500000000002,1.056901373113305,1.1017089728907348,1,8
non_elite,0.8,139.38312985610128,1.2495147162673343,8.12254923376609,116.0,1.0754356095684485,1.1513188657941584,1,8
non_elite,0.9,125.73215189795644,1.392584371622267,8.574547642028113,108.0,1.2314389804531023,1.320867839338444,1,8
population_dense,0.7,92.37383846291823,1.1096261220924044,4.919636976687357,75.47500000000002,1.0315759587481164,1.0752006771562468,1,8
population_dense,0.8,128.68527064665102,1.1975777068244946,7.04289488188725,112.0,1.0488238561571206,1.1103268749582917,1,8
population_dense,0.9,131.8583803027766,1.3514896065363247,8.262696227521543,111.47500000000002,1.177509126129531,1.2372000006059376,1,8
